timestamp,frame_number,track_id,class,confidence,x1,y1,x2,y2,center_x,center_y,line_crossing_status
2026-08-04T02:11:53.633807,5,1,person,0.525,1,10,308,239,154,124,none
2026-08-04T02:11:53.767034,7,1,person,0.358,0,8,306,239,153,124,none
2026-08-04T02:11:53.829025,8,1,person,0.358,0,8,304,239,152,124,none
2026-08-04T02:11:53.896787,9,1,person,0.358,0,8,302,239,151,124,none
2026-08-04T02:11:53.969170,10,1,person,0.358,0,8,301,239,150,124,none
2026-08-04T02:11:54.034002,11,1,person,0.358,0,8,300,239,150,124,none
2026-08-04T02:11:54.105494,12,1,person,0.466,0,9,296,239,148,124,none
2026-08-04T02:11:54.189565,13,1,person,0.466,0,9,294,239,147,124,none
2026-08-04T02:11:54.250792,14,1,person,0.466,0,9,292,239,146,124,none
2026-08-04T02:11:54.313466,15,1,person,0.466,0,9,290,239,145,124,none
2026-08-04T02:11:54.387535,16,1,person,0.466,0,9,289,239,144,124,none
2026-08-04T02:11:54.450440,17,1,person,0.304,0,9,284,239,142,124,none
2026-08-04T02:11:54.524644,18,1,person,0.304,0,9,280,239,140,124,none
2026-08-04T02:11:54.589279,19,1,person,0.304,0,9,276,239,138,124,none
2026-08-04T02:11:54.649071,20,1,person,0.304,0,9,274,239,137,124,none
2026-08-04T02:11:54.710150,21,1,person,0.304,0,9,272,239,136,124,none
2026-08-04T02:11:54.776078,22,1,person,0.382,6,12,276,239,141,126,none
2026-08-04T02:11:54.841146,23,1,person,0.382,8,12,278,239,143,126,none
2026-08-04T02:11:54.911552,24,1,person,0.382,8,12,279,239,143,126,none
2026-08-04T02:11:54.963299,25,1,person,0.382,7,12,279,239,143,126,none
2026-08-04T02:11:55.022369,26,1,person,0.382,7,12,279,239,143,126,none
2026-08-04T02:11:55.084502,27,1,person,0.31,0,12,269,239,134,125,none
2026-08-04T02:11:55.160080,28,1,person,0.31,0,11,266,239,133,125,none
